GemName;Usage(GS);%Usage;Usage(NR);Downloads
stateflow;2;0,0027;19;10171
rspec-spies;1;0,0014;1;3135
jsonify-rails;2;0,0027;2;1196
nfo-resque-mongo;1;0,0014;1;223
win32-process;1;0,0014;3;112717
sprite-factory;1;0,0014;1;545
compass-susy-plugin;1;0,0014;47;22983
javascript_features;2;0,0027;4;540
easy-prof;1;0,0014;5;977
data_mapper;2;0,0027;2;35329
terminator;1;0,0014;5;4742
valvat;1;0,0014;5;2899
joint;1;0,0014;16;11702
mm-concerns;1;0,0014;1;620
mm-embeddable;1;0,0014;1;391
mm-paranoid;1;0,0014;4;528
mm-stripper;1;0,0014;1;532
mm-multi-parameter-attributes;1;0,0014;21;1878
mm-sanitize;1;0,0014;1;505
mongo_mapper_acts_as_list;2;0,0027;8;1217
mongo-rails-instrumentation;1;0,0014;15;3783
escargot;1;0,0014;2;409
starling;1;0,0014;46;18027
rack-webtranslateit;1;0,0014;2;2142
image_validator;1;0,0014;2;575
adwords-api;1;0,0014;2;0
cwninja-whenever;1;0,0014;2;0
super-poller;1;0,0014;2;1582
peach;2;0,0027;9;3436
resource_controller;1;0,0014;32;9191
inkling;1;0,0014;1;2184
ruote;1;0,0014;6;11409
ratom;1;0,0014;14;16881
gemcutter;1;0,0014;37;320685
gabba;1;0,0014;17;1902
backbone-rails;2;0,0027;4;2303
nested_has_many_through;1;0,0014;13;1144
isbn-tools;1;0,0014;9;2221
heroku-rails;1;0,0014;7;4933
guard-passenger;1;0,0014;5;4520
ruby-pg;1;0,0014;5;15055
rdf;1;0,0014;4;18176
pismo;1;0,0014;9;4744
heroku_s3_backup;2;0,0027;32;1471
nokogiri-happymapper;2;0,0027;10;2550
restclient_with_cert;1;0,0014;62;10045
acts_as_archive;3;0,0041;62;13979
rest-open-uri;1;0,0014;5;6563
refinerycms-portfolio;1;0,0014;30;10183
amistad;1;0,0014;13;5658
thoughtbot-pacecar;1;0,0014;2;0
acts_as_state_machine;1;0,0014;30;10703
couch_potato;1;0,0014;11;16238
maser-resource_controller;1;0,0014;1;0
servolux;1;0,0014;2;11505
statarray;1;0,0014;5;1495
zucker;1;0,0014;9;12436
hashery;1;0,0014;6;5918
youtube_it;3;0,0041;51;10500
masterplan;1;0,0014;1;551
alter-ego;1;0,0014;12;4128
memcache;1;0,0014;31;28043
braid;1;0,0014;3;5282
ruby-ip;1;0,0014;4;4841
statsd;1;0,0014;5;728
kensa;1;0,0014;2;4925
humanize;1;0,0014;3;1000
google-search;1;0,0014;6;4041
google-translate;1;0,0014;6;14295
elif;1;0,0014;25;34973
binged;1;0,0014;2;2974
bj;1;0,0014;20;10426
cached_model;1;0,0014;15;8764
friendly;1;0,0014;3;6622
htmltools;1;0,0014;10;5344
memcache-client-stats;1;0,0014;3;1337
rc-rest;1;0,0014;15;14937
rfacebook;1;0,0014;14;20113
ruby-yadis;1;0,0014;14;37316
sg-ruby;1;0,0014;14;1288
simple-fluther;1;0,0014;2;1721
SQS;1;0,0014;3;3228
swiftiply;1;0,0014;2;2843
google-ads-common;1;0,0014;8;2478
app_config;2;0,0027;15;6487
googlestaticmap;1;0,0014;9;1678
right-rails;1;0,0014;6;8630
ignore_nil;1;0,0014;1;1925
s3_logger;1;0,0014;2;243
nested_liquid;1;0,0014;1;849
has_inherited;1;0,0014;1;1004
date-performance;2;0,0027;25;6825
acts_as_eav_model;1;0,0014;1;1216
preference_fu;1;0,0014;3;1183
rack-geoip;1;0,0014;1;768
resque-mock;1;0,0014;2;471
ruleby;1;0,0014;7;5923
resque-pubsub;1;0,0014;1;349
cas_client;1;0,0014;1;436
resque-send-later;1;0,0014;3;162
attached;3;0,0041;1;8714
formula;1;0,0014;1;6330
test-spec;4;0,0054;8;28752
premailer-rails3;1;0,0014;5;530
encrypted_strings;1;0,0014;12;9926
rsvg2;1;0,0014;2;4332
sanitize_email;1;0,0014;26;7084
sprite;1;0,0014;7;4655
request_log;1;0,0014;3;890
debug_log;1;0,0014;1;1515
menu_builder;1;0,0014;3;4098
natcmp;1;0,0014;1;641
unidecoder;1;0,0014;10;5250
artifice;2;0,0027;6;5794
forem;1;0,0014;1;150
asf-rest-adapter;1;0,0014;2;1173
to_slug;1;0,0014;5;1930
twiliolib;2;0,0027;100;18904
remit;1;0,0014;17;5035
couchrest_model;1;0,0014;32;9082
spruz;1;0,0014;198;304414
isbn;1;0,0014;3;3041
instagram;1;0,0014;14;4113
browser_detect;1;0,0014;2;802
wufoo;1;0,0014;2;1088
gust;1;0,0014;1;748
hashr;1;0,0014;2;2345
rack-accept;1;0,0014;1;10907
gowalla;1;0,0014;11;8333
twitpic-full;1;0,0014;4;277
ach;1;0,0014;5;2049
delayed_job_tracer;1;0,0014;1;539
e20_ops_middleware;2;0,0027;11;2600
attr_encodable;1;0,0014;1;229
porter;1;0,0014;1;2684
ruby-smpp;1;0,0014;5;4178
exception_logger;1;0,0014;12;4607
